# Yale Bright Star Catalogue (BSC5), Hoffleit & Warren 1991, ADC/CDS V/50.
# Trimmed for the Simathon 02 demo. Source: tdc-www.harvard.edu/catalogs/bsc5.dat.gz
# ra_deg,dec_deg,vmag,b_v,dist_pc   (dist_pc = 0 means no usable parallax)
21.39875,23.51167,6.180,0.430,0.0
21.17000,-41.49250,5.420,1.040,0.0
21.57750,43.45778,5.960,0.490,0.0
21.53625,34.57972,6.310,0.470,0.0
21.17458,-44.52833,6.260,1.140,0.0
21.40500,-14.59889,4.900,1.230,142.9
21.56375,19.17222,5.380,0.390,26.3
21.67375,19.24028,5.500,1.110,76.9
21.77583,34.37750,6.270,0.460,0.0
21.61375,-0.39861,6.410,1.240,43.5
21.91417,45.40667,4.830,0.420,33.3
21.86083,41.10056,6.460,0.270,0.0
21.72292,3.53528,6.580,-0.040,0.0
21.27208,-64.36944,5.930,1.560,0.0
21.71500,-13.05667,5.660,0.350,0.0
21.94583,40.33556,6.600,-0.040,0.0
21.74208,-32.54306,5.790,3.860,0.0
37.95292,89.26417,2.020,0.600,142.9
21.94417,-10.90167,6.130,1.320,0.0
22.09542,7.96139,6.200,1.120,0.0
22.80750,70.26472,5.810,0.470,25.6
22.71792,66.09806,6.140,0.080,0.0
22.09125,-43.31833,3.410,1.570,0.0
22.52583,47.00722,5.270,1.000,66.7
22.18042,-33.76361,6.580,0.300,0.0
22.47042,18.35556,6.020,0.140,0.0
22.40042,-21.62944,5.120,0.020,35.7
22.54625,6.14389,4.840,1.370,55.6
22.37667,-46.75639,6.310,1.660,0.0
22.59542,-26.20778,5.930,1.340,0.0
22.87083,15.34583,3.620,0.970,66.7
23.03167,34.80000,6.390,-0.120,0.0
23.35750,58.32750,5.700,1.520,0.0
22.81292,-49.07278,3.950,0.990,32.3
22.93042,-30.28333,5.820,1.080,0.0
23.48292,59.23194,4.710,1.000,47.6
22.91292,-45.57556,6.170,0.060,0.0
23.26458,-9.01472,6.590,-0.040,0.0
23.23333,-36.86528,5.510,1.020,142.9
23.56917,37.23722,5.880,-0.070,55.6
23.15125,-49.72778,6.280,0.460,0.0
23.42875,-7.02528,5.760,0.640,0.0
24.34375,74.30083,6.580,0.030,0.0
23.70458,18.46056,5.890,1.520,0.0
23.65750,-15.67611,5.630,0.070,0.0
23.96875,41.07639,6.380,1.110,0.0
23.71125,-31.89222,6.120,1.110,0.0
24.11333,48.72278,5.920,1.210,0.0
23.94333,14.66139,6.220,-0.040,0.0
24.62875,73.04000,5.280,0.960,58.8
23.97833,17.43361,5.800,0.000,0.0
24.19917,41.40556,4.090,0.540,16.1
23.99583,-15.40028,5.420,1.210,0.0
23.81333,-58.13944,6.010,0.380,90.9
24.53167,57.97750,5.560,1.380,0.0
24.03500,-29.90750,5.690,0.330,40.0
24.27458,12.14167,5.570,0.350,0.0
24.49833,48.62833,3.570,1.280,47.6
24.63208,45.40000,6.360,0.040,0.0
24.40708,-9.40389,6.240,0.530,41.7
23.41333,-78.50472,6.110,0.970,0.0
24.18667,-58.27083,6.180,1.610,0.0
24.83750,44.38611,4.980,0.890,111.1
25.05458,53.86833,6.390,1.610,0.0
24.61417,-36.52833,5.940,1.050,0.0
24.42875,-57.23667,0.460,-0.160,38.5
24.71583,-21.27528,5.580,0.340,0.0
24.70833,-25.02194,6.700,-0.080,0.0
24.92000,16.40583,5.970,1.120,0.0
25.16583,43.29778,5.610,0.210,0.0
25.14500,40.57694,4.940,-0.090,0.0
25.58542,68.04306,5.590,-0.070,0.0
24.70083,-53.43889,6.840,0.440,0.0
25.73292,70.62250,5.180,-0.040,250.0
25.51250,61.03833,6.710,-0.030,0.0
25.57417,58.62778,6.370,-0.020,0.0
25.44667,42.61361,4.950,0.620,12.3
25.32667,25.74583,6.170,0.440,43.5
25.41333,30.04722,5.990,1.010,0.0
24.94750,-56.19806,5.870,0.900,6.6
24.94917,-56.19472,5.760,0.870,6.6
25.74333,61.42167,6.340,0.010,0.0
25.35792,5.48750,4.440,1.360,24.4
25.51458,35.24556,5.640,-0.070,0.0
25.83208,60.55111,5.780,-0.020,0.0
25.43625,-11.32472,5.750,0.440,28.6
25.62417,20.26861,5.240,0.840,8.4
25.36375,-38.13306,6.170,0.420,0.0
25.81875,45.32222,6.340,1.010,0.0
25.91500,50.68861,4.070,-0.040,40.0
25.53583,-32.32694,5.250,1.050,0.0
25.51250,-36.83250,5.720,-0.010,0.0
26.07458,57.53639,6.210,0.100,0.0
25.68125,-3.69028,4.990,1.380,111.1
25.42125,-50.03889,6.640,0.120,0.0
26.19208,57.08917,6.250,0.040,0.0
25.95833,32.19167,6.340,0.000,0.0
26.11042,46.13972,6.350,0.000,0.0
25.45000,-60.78944,5.710,1.270,0.0
25.62208,-53.74056,5.520,0.530,0.0
25.97833,-4.76556,6.190,1.540,0.0
26.23250,20.08306,6.270,0.750,37.0
26.01708,-15.93750,3.500,0.720,3.6
26.34833,9.15778,4.260,0.960,43.5
26.93667,63.85222,5.630,0.810,9.3
24.48167,-82.97500,5.870,0.610,0.0
26.49708,-5.73333,5.340,1.520,0.0
26.41167,-25.05250,5.310,0.390,27.0
26.64708,17.41306,6.550,0.250,0.0
25.33875,-79.14833,6.330,0.940,0.0
26.50417,-27.34917,6.390,0.360,0.0
26.95000,46.22972,6.320,0.430,0.0
26.52417,-50.81639,5.490,1.600,0.0
26.52625,-53.52194,5.040,0.040,43.5
27.16208,37.95278,5.940,0.970,0.0
27.04542,16.95556,5.840,-0.030,0.0
27.17333,32.69028,5.790,0.550,26.3
26.82000,-41.76000,6.180,1.540,0.0
24.36667,-84.76972,5.690,0.940,0.0
27.31542,47.89694,5.820,0.290,125.0
27.10833,3.68556,5.910,0.970,0.0
26.94917,-37.15972,6.320,1.020,0.0
27.73792,51.93333,5.900,0.430,0.0
27.53542,22.27528,5.860,0.740,58.8
27.39625,-10.68639,4.670,0.330,21.7
27.33125,-31.07278,6.340,1.220,0.0
27.99708,55.14750,5.520,-0.180,0.0
27.71667,11.04333,5.940,0.300,0.0
27.45333,-38.40389,6.370,0.520,45.5
28.03917,50.79278,5.790,-0.070,0.0
27.58417,-47.81639,6.140,1.010,0.0
28.21167,51.47472,6.260,0.000,0.0
27.86500,-10.33500,3.730,1.140,32.3
28.45208,55.59806,6.450,0.180,0.0
27.72708,-50.20611,5.940,0.140,0.0
28.59875,63.67000,3.380,-0.150,100.0
28.32208,40.72972,5.400,1.320,166.7
28.27042,29.57889,3.410,0.490,17.5
28.38250,19.29583,4.830,0.000,38.5
28.38250,19.29361,4.750,-0.040,38.5
28.21708,-16.92917,5.800,0.270,0.0
29.00000,68.68528,4.990,-0.100,0.0
28.38875,3.18750,4.620,0.940,200.0
26.94375,-80.17667,6.060,0.340,0.0
28.72417,40.70194,6.240,1.250,0.0
28.73958,37.12833,6.260,1.170,0.0
28.66000,20.80806,2.640,0.130,13.5
28.34667,-38.59472,6.100,1.120,0.0
28.41167,-46.30250,4.410,1.590,90.9
28.97667,37.27778,5.890,1.630,0.0
29.03875,37.25167,5.670,1.060,0.0
28.59167,-42.49694,5.110,-0.060,0.0
28.96250,23.57722,5.740,1.190,0.0
28.97417,1.84972,6.010,0.560,40.0
29.63875,61.69806,6.020,-0.040,0.0
29.48500,41.69444,6.780,-0.060,0.0
29.33792,17.81750,5.100,0.920,0.0
29.43250,27.80444,5.820,1.600,0.0
29.16750,-22.52694,4.850,1.420,0.0
28.98958,-51.60889,3.700,0.850,17.2
29.90833,64.62139,5.260,0.010,0.0
29.64000,49.20417,5.690,1.010,0.0
29.48208,23.59611,4.790,0.280,35.7
28.73375,-67.64722,4.690,0.950,0.0
28.94333,-60.86139,6.060,0.370,0.0
30.73833,77.91639,6.040,1.140,0.0
29.25042,-51.76611,6.100,0.480,17.9
29.29167,-47.38500,4.830,0.880,47.6
30.48917,70.90694,4.540,0.160,28.6
29.61125,-33.06667,6.350,1.020,0.0
29.89875,21.05833,5.870,1.030,0.0
29.85792,12.29472,6.090,0.190,0.0
30.79375,73.85056,6.230,0.000,250.0
30.85875,72.42139,3.980,-0.010,0.0
31.28083,77.28139,5.380,0.310,35.7
30.03833,3.09722,5.880,0.620,29.4
29.94208,-20.82444,5.410,1.650,0.0
29.47333,-65.42472,6.370,0.900,0.0
30.00125,-21.07778,4.000,1.570,142.9
